words,topic,category,replies,views
121,Opinions on 2002 Volvo XC70?,None,3,337

183,Reliability of 2015 Buick Verano,None,3,425

910,"Opinion on 2013 Kia Soul,trade in or repair",None,10,2.5k

138,2017 Volvo XC60 T5 Dynamic,None,4,353

2417,"Is it impractical to buy a 1997 Honda Civic DX Coupe with 127,000 miles in 2018 as only car for daily commute, etc. to drive at least 10k mi a year? Is really funky color bright green I like. Listing at $2,990",None,30,2.7k

2137,Can a vehicle price always be negotiated down or if advertised as reduced maybe not? Is $16k on a new 2016 Honda Civic coupe LX-P no miles a great deal? Can I bargain down at all?,None,16,978

82,Opinions on Acura RDX?,None,2,284

1462,1990 Cadillac Eldorado Biarritz first time buyer help,None,18,1.7k

59,Interested in a Volkswagen Tiguan,None,2,296

717,"Used car that was owned by rental agency, should I buy?",None,12,902

789,To Sell or Not to Sell an Unused Car?,None,19,1.1k

283,Opinions on 2010 Hyundai Sonatas?,None,9,524

247,2018 Toyota Camry XSE Automatic Lease Deal,None,4,366

1042,Buying a Mazda MPS (Speed3) Private or Dealership,None,16,853

1041,Please help me with information on buying!,None,15,775

3892,When Is It Time to Buy a New (Replacement) Car?,None,32,2.2k

666,Looking for new(to me) reliable car,None,18,1.2k

2157,2014 with 20k miles or 2015 with 35k miles,None,30,3.5k

1074,09 WRX STI Hatch or Mazda 3 MPS,None,13,812

2546,Second opinions on Merc 300TD Purchase,None,34,1.7k

4140,How risky is it to buy a craigslist car,None,38,6.4k

2331,Purchase a used 2014 Honda CRV,None,21,1.8k

1424,Buying a used Chevy Volt? (full car situation posted below!),None,19,2.5k

968,Buying a Used Car  Am I Nuts?!,None,14,1.5k

690,"Currently test driving a 2001 Volvo S 60 overnight. 128,000 miles. $3,700.00. Good deal or no?",None,14,861

844,2004 Yukon or 2006 Toyota Matrix?,None,12,1.0k

734,Buying without mechanics inspection,None,9,1.4k

900,Considering a used Mini Van,None,12,1.7k

1118,2018 Subaru Impreza impressions,None,11,1.0k

1861,2011 or 2012 BMW Wagon,None,17,1.4k

186,Just bought a car without inspection sticker,None,4,3.3k

1603,Good lease on BMW Loaner,None,19,5.0k

563,Looking for suggestions on what car to buy,None,14,1.4k

580,2006 Toyota Prius vs. 2005 Volvo V70 2.4,None,5,686

1665,CR-V Longevity,None,30,11.9k

926,Should I buy a standard I dont know how to drive?,None,15,1.5k

1348,2 Battery Replacements w/in 15k  Trouble Ahead?,None,16,869

1102,Autocheck Added Accident Months Later,None,12,1.8k

1089,I need a small camping car to replace Scion xA,None,21,2.4k

583,S10 Chevy by next march Im going to buy one,None,13,1.3k

667,Looking To Buy Used Wagon/Crossover,None,6,921

2569,Should I trade or continue to pay off my vehicle,None,23,4.2k

526,CRV or CX5 or Rogue,None,11,856

671,Looking for a new-to-me people mover,None,13,699

1286,Should I keep my lease? If I dont want do I get?,None,12,1.4k

1027,Used Car Buying - How much work should a used car need?,None,16,743

181,NIADA Certified?,None,6,3.2k

1514,"Buying a car from a private party - using carfax, figuring out price",None,17,4.2k

1789,Used car listings covering license plates,None,20,5.3k

1603,SUV/Crossover that can tow 3000 lbs,None,19,11.3k

532,New(er) Mustang,None,8,1.1k

1333,"Moving to Africa, Guinea, Conakry to be Specific <img width=""20"" height=""20"" src=""https://emoji.discourse-cdn.com/twitter/blush.png?v=9"" title=""blush"" alt=""blush"" class=""emoji"">",None,19,1.9k

552,Wishful thinking? hybrid and towing,None,8,633

1100,"Which one to buy? Manual, fuel efficient, drives on snow",None,18,2.2k

866,Deciding between a Low milealge yaris vs newer model yaris with slightly higher miles,None,13,887

737,How do you get rid of your car parts when doing mods?,None,14,1.7k

1066,How much would an 1926 Gardner cost?,None,17,1.5k

145,2000 Outback 2.5 Timing check,None,4,586

1072,Possible trade in,None,15,852

593,Where to sell an antique car?,None,9,877

1454,Help: choosing wifes next car,None,25,2.8k

885,2008 Suzuki SX4,None,12,1.4k

657,Pontiac Vibe comments?,None,18,1.0k

856,No carfax info since Feb 2014,None,14,889

761,Civic vs MX-5 17 years ago,None,10,901

2160,Repair first or just trade in?,None,16,9.1k

987,"Need less than $10k, but with ground clearance",None,18,989

263,2010MY on Vehicle Emission Control Information,None,3,2.5k

227,04 Mazda B2300 used buy?,None,3,686

1629,Please help!,None,15,826

429,1997 mazda b2300,None,5,672

1567,Need help deciding on what to look for,None,12,1.4k

2061,Which used minivan to buy?,None,13,2.9k

1689,"2000 Toyota Sienna: Rebuild transmission, or time for a new(er) minivan?",None,17,3.8k

874,"Scrap or sell 03 Subaru Outback 197,000 miles",None,12,1.1k

594,Manual Transmission Opinions,None,4,698

1204,Buying a truck that was towed behind RV,None,17,8.2k

1152,Funny Craigslist Ad,None,16,1.6k

1296,General Advice for Haggling Down Used Car (Lexus ES 300h),None,10,1.5k

622,Sales tax car refund/ dealer told me it was going to be refunded but I found its not,None,10,3.1k

583,Seats like a Honda Element,None,8,1.4k

522,Should I fix the brakes before trading in my car?,None,9,6.8k

1212,Narrowing down my next car purchase,None,15,1.4k

359,Donate my Sonata or..?,None,7,698

1315,Tips for buying a used car from a dealer or Carmax,None,13,7.0k

860,Looking for a 25+ model hwy hatchback /suv,None,13,795

866,Buick Enclave v. Gmc acadia,None,14,1.9k

345,Opinions about Hondy Oddysey,None,6,754

702,Pros and Cons: To Keep or to Sell and What to Buy,None,9,962

335,Older model Dodge Caravan with a manual transmission,None,6,2.5k

752,Honda Odyssey vs Dodge Caravan,None,11,1.9k

257,Recommendations for cars that you could comfortably sleep in and have lots of room for moving things,None,4,592

842,1963 Ford f250 to buy?,None,14,1.8k

924,Kia leasing offer. Am I being duped?,None,10,1.7k

856,"Which Audi Q5 to buy - 2010, 2011, 2012?",None,10,4.7k

1193,$1000 car for six months use - Am I crazy?,None,15,1.9k

446,Help me choose!,None,8,734

1527,Buy Newer or OLD,None,17,2.1k

713,Need recommendations for a 7 seater vehicle,None,13,1.1k

1409,Transmission acting up,None,14,1.5k

623,Buying advice for a used hatchback?,None,13,931

1443,"105,000 miles",None,15,1.3k

348,Suggestions for used 4WD SUV to haul tie-dye and drive on beach,None,13,778

3530,Santa Fe (2014/15) will be my 1st pre owned-Hertz or Dealer?,None,23,3.2k

872,"Lets vote, 2017 Acura MDX or 2017 Lexus RX 350",None,15,2.2k

702,2004 New Beetle shuts off while driving!,None,5,5.2k

1905,New or demonstrator?,None,18,5.6k

936,WHAT SHOULD I BUY? Alaska Truck Connundrum,None,13,892

2035,"Buying a 2011 Subaru outback fully loaded 139,000 miles or Honda crv 2010 56,000 miles - Help Choosing",None,27,3.9k

904,Family Car Debate,None,15,1.7k

1861,Options for Getting Out of a Used Car Purchase,None,14,1.0k

2081,"Think Im getting jerked around by a dealer, NY state",None,30,2.1k

491,To Trade or Not to Trade?,None,13,998

1289,Suggestions for affordable/ dependable off-road capable vehicle,None,19,1.5k

1613,Pre-Purchase Inspections - New Strategy,None,22,2.1k

998,What is this Toyota?,None,27,2.5k

508,Which car to trade?,None,7,803

864,"New truck, please with these options?",None,15,1.6k

662,"Buying Cherokee, hesitant because of rust",None,16,3.4k

1027,Looking at a salt belt car (Im in GA). Thoughts?,None,12,6.0k

1848,Used Vehicle Purchasing Issues: Horror Story!,None,19,2.4k

781,Should I Buy This Car With This Many Miles?,None,12,3.9k

938,94 toyota pick up 22re,None,15,1.9k

805,Best cheap car where replacement are available cheap,None,14,1.3k

1486,NJ Lease: cancel dealer GAP and use insurers GAP insurance?,None,13,3.3k

714,Golf clubs fit in new convertible trunk?,None,24,14.1k

1320,Advice on buying a 1999 Ford Expedition with 30k miles,None,19,2.6k

584,What small SUV looks like a Tonka Car?,None,17,3.0k

875,Lied To From Salesman,None,16,1.7k

1141,Which to choose: 2017 Forester or 2016 RAV4,None,11,1.6k

765,Pricing an antique car that doesnt run - 65 Mustang &amp; 73 Monte Carlo,None,9,1.2k

330,2002 Ford Explorer Advice,None,6,938

361,Whats the risk of buying high mileage 2012 Ford Focus?,None,10,8.0k

1175,Which One!,None,12,1.1k

804,Gas or Diesel,None,14,949

353,"Advice on buying a car with replaced strut assembly, steering knuckle and control arm",None,6,917

275,Advice/Opinions? Used 2012-2015 Subaru Impreza or Prius V,None,13,2.0k

281,New car advice in Pittsburgh,None,5,848

1280,Used cars suitable for bad roads!,None,17,3.3k

